airport_iata,airport_name,city_iata,utc_offset,timezone_id
FFO,Dayton Wright-Patterson Afb,DAY,-05:00,America/New_York
FFT,Frankfort Capitol City,FFT,-05:00,America/New_York
FFU,Futaleufu,FFU,-04:00,America/Santiago
FGD,F'derik,FGD,+00:00,Africa/Nouakchott
FGI,Apia Fagali'i Apt,APW,+13:00,Pacific/Apia
FGL,Fox Glacier,FGL,+12:00,Pacific/Auckland
FGR,Fuengirola Rail Station,FGR,+01:00,Europe/Madrid
FGU,Fangatau,FGU,-10:00,Pacific/Tahiti
FHU,Fort Huachuca/Sierra Vista,FHU,-07:00,America/Phoenix
FHZ,Fakahina,FHZ,-10:00,Pacific/Tahiti
FIC,Fire Cove,FIC,-09:00,America/Anchorage
FID,Fishers Island Elizabeth Field,FID,-05:00,America/New_York
FIE,Fair Isle,FIE,+00:00,Europe/London
FIG,Fria Katourou,FIG,+00:00,Africa/Conakry
FIH,Kinshasa,FIH,+01:00,Africa/Kinshasa
FII,Beihai Railway Station,BHY,+08:00,Asia/Shanghai
FIK,Finke,FIK,+09:30,Australia/Darwin
FIL,Fillmore Municipal,FIL,-07:00,America/Denver
FIN,Finschhafen,FIN,+10:00,Pacific/Port_Moresby
FIR,Florence Firenze C.M. Rail Station,FLR,+01:00,Europe/Rome
FIS,Kinshasa Central Rail Station,FIH,+01:00,Africa/Kinshasa
FIV,Five Finger Coast Guard Heliport,FIV,-09:00,America/Anchorage
FIZ,Fitzroy Crossing Fitzroy,FIZ,+08:00,Australia/Perth
FJR,Fujairah International,FJR,+04:00,Asia/Dubai
FKB,Karlsruhe/ Baden Baden,FKB,+01:00,Europe/Berlin
FKH,Fakenham Sculthorp Raf,FKH,+00:00,Europe/London
FKI,Kisangani Bangoka Intl,FKI,+02:00,Africa/Lubumbashi
FKJ,Fukui,FKJ,+09:00,Asia/Tokyo
FKL,Franklin Venango Regional,FKL,-05:00,America/New_York
FKN,Franklin Municipal-John B. Rose,FKN,-05:00,America/New_York
FKQ,Fak Fak Torea,FKQ,+09:00,Asia/Jayapura
FKS,Fukushima,FKS,+09:00,Asia/Tokyo
FLA,Florencia Gustavo A. Paredes,FLA,-05:00,America/Bogota
FLB,Floriano Bangapara,FLB,-03:00,America/Araguaina
FLC,Falls Creek Heliport,FLC,+10:00,Australia/Sydney
FLD,Fond Du Lac County,FLD,-06:00,America/Chicago
FLE,Petersburg Fort Lee Aaf,PTB,-05:00,America/New_York
FLF,Flensburg Schaeferhaus,FLF,+01:00,Europe/Berlin
FLG,Grand Canyon Pulliam Field,GCN,-07:00,America/Phoenix
FLH,Flotta,FLH,+00:00,Europe/London
FLI,Flateyri Holt,FLI,+00:00,Atlantic/Reykjavik
FLJ,Falls Bay,FLJ,-09:00,America/Anchorage
FLL,Fort Lauderdale,FLL,-05:00,America/New_York
